id,chance_acerto_casual,dificuldade,discriminacao,imagem_drive_id,numero,resposta_certa,habilidade_id,prova_id
76,0.14885,2.31084,2.18282,1WgzfKUs1fQvh2pxBsaIrnDExBoHc_fbM,147,C,1,3
77,0.20086,-0.08552,1.58670,19lpbGfqymH5GZyifixkPjqrjtfA8N6zS,149,A,1,3
78,0.09203,0.62447,2.75624,1UqxbVpeXiC40GXnY5yj5gACaEX_sbFcj,151,C,9,3
79,0.13986,2.68030,1.73821,1PRjA6PcgNI3kF9JxEOubruMxkph7-O0A,153,A,3,3
80,0.18532,0.89580,2.96092,1C_49qda43rldoN4wH-iTpvPE_qaDIChY,155,C,8,3
81,0.15884,1.89021,2.99017,1uxBUsqYCs4WSmjQleiVyewaQBlHxniop,158,C,5,3
82,0.13290,0.99371,2.09221,1SzQOqPIGusW9sKvwITi-04w1QHMBW1y7,163,E,10,3
83,0.15449,1.34028,2.59667,1_VfN3deH5LvkJ08P1fqUt6cycPFvFybw,166,B,2,3
84,0.17940,1.08171,2.04724,18pm92EBV8UuZVXEp-Rcv1RAVSvDnWdoI,167,D,9,3
85,0.21610,2.18033,4.06335,1VLiSqYHbzmIpUJxTZot8UOtruV_XYZK6,168,B,6,3
86,0.11432,2.17738,1.57033,1pWC3myH4SS-131KbUg4gkYmCdpT1I8Rl,170,E,2,3
87,0.27993,1.65188,1.89497,13ghVx_IqBCHwj4VEQ4qj3v4HVkdadc2v,176,C,3,3
88,0.14575,1.21252,1.68298,16HMTT-G6acfdOUA7JK-Awmc7hhMtdICw,136,D,1,2
89,0.20245,1.40250,2.48037,1-OdItTO7uL90p2Xig0uRc4a04lFf1JH2,137,D,1,2
90,0.20483,1.21452,3.29525,1OcD9U4vP2Fduzp1S59Lvk8JhqUOjXbv9,138,C,3,2
91,0.13839,1.87459,2.75345,1N6NXyOVSee02EzqYsobwQeIAMXMKR9i6,139,A,2,2
92,0.13024,1.71637,1.78096,1ffFDhJ7aNYn4nTYpFaEShir7_bNmD1_E,140,B,3,2
93,0.15898,1.49877,1.71655,1If_MrimXxRfbe_aSeIVV38PYZKTxgw84,141,D,4,2
94,0.14881,1.37865,1.44209,1Y2i4cSNvPpOdu4EFgx4h3N8U0rZ-NBZO,142,C,4,2
95,0.16153,1.59921,1.47905,1xEwsiX7cvAATn-Auj-S2WHm74N3qwJf7,144,A,5,2
96,0.08889,2.16194,1.50255,1SlxJvQX7R1UxzhKTdCNINIlTq8GkTKTv,145,E,5,2
97,0.13965,2.23062,1.50712,12ldbqdlfj402rrz1uP85kDnC6PjkbYm2,146,D,6,2
98,0.19555,2.40851,1.45834,1N2aM5eoEv5uJWCzMPhqInVwaTtWfTuYq,147,C,6,2
99,0.14790,2.38315,2.05592,13VAxqN_JzOjP-ge8z76AMIjARPQt_UtN,156,E,4,2
100,0.08061,4.96788,0.38226,1rYregWKd33YU1SpPk1J6ZMPL_pVgDwaY,162,E,7,2
101,0.10646,1.68956,2.32415,1r4ptKSpBfEbIQsSM5j9oJV--FJA_3a57,166,C,8,2
102,0.19274,1.95839,1.53863,1W-4XxxS0u_e7k9TaT18JRZOdSUBb-rVP,167,C,9,2
103,0.10040,1.06450,1.85811,1IjThsqiBRocTRE1LPUMYlTQo8Y7YgY9c,168,C,8,2
104,0.07498,0.94544,1.67858,1hdeP5H6DNZOV2HNt29mhDIyTdZzy3FUu,170,D,9,2
105,0.26937,2.47483,1.41349,1UgDsN2f5xFXlGpCy1NYs3w0zEyx8WlP6,172,C,10,2
106,0.16879,1.93237,3.23662,1W8UiPjnmNvSfTIXKBAnq5jXJZzxlvUjV,173,E,10,2
107,0.14078,1.73939,1.38496,1Gzzulg5kP-BVIYcJAbdCY2u5ydKnNdqG,179,E,2,2
108,0.10176,1.58603,2.57245,11Ib3jbYfIoLNWU6DMeY2G8DhyLkz64Xk,140,A,4,1
109,0.04601,1.32978,2.18973,1z50oMhEQg5uffXKVP-HvGjChs6UTJFZY,143,B,9,1
110,0.11013,-0.02398,1.42701,14aIyVlHvOD-CTaPtBYajZCjITJiUT3Yi,144,E,1,1
111,0.18728,0.64802,1.32325,1NYs9UiV6czZNoeUheCFrBmOYjCSza-ja,146,A,9,1
112,0.13020,1.56693,2.19381,1MtF7wr0KcTSJfDebnF8ZqtshupqUwTX6,149,C,3,1
113,0.15718,2.16924,0.92146,1i3gRyN-iLLWqUvx7v7sHsCPmjS0V00mo,150,B,2,1
114,0.14217,2.40899,2.33252,1tefLaVVzYvEsqpIDSFQtsU4xqPhBioz8,151,E,8,1
115,0.03228,4.65334,0.24441,1GbdD8tggwIHrmBAt7meHUggrvLMkI6Mq,152,C,10,1
116,0.11329,2.41531,2.27997,1xwGICenHlFfqJHtK8S5JQwSGUit-Y330,155,E,7,1
117,0.16170,2.45135,0.90320,1H7AwXhbIZEDhi0vTlGJ0Ex2UtGuDwqYr,158,D,5,1
118,0.16856,1.92189,1.18017,1LkPzanR4pKmlyl02KuAvFkaaYxY2bAFV,159,C,1,1
119,0.16855,3.30111,1.57712,1TFBGj3elTUkoTfwlD5OXteUJPp7VT_ZR,161,B,3,1
120,0.11290,2.40685,0.79395,1yojP8gmX6gSYnzf1cqCWhpXBIrk7p0Eg,163,C,5,1
121,0.16335,0.63977,2.81078,1LM0JWp6RLn5G2hGCnaEYAfcLBhXXJCuD,168,D,8,1
122,0.12028,2.57768,2.93886,1oGtHX_c7wFQFJX8QuGrsMlAb5bag1_Ye,169,D,6,1
123,0.18410,2.54230,2.17147,15rTgb5yyjZRG8p0qhAKtTYLP3fIxDuib,177,B,2,1
